user_id,hour_of_day,month_id,watch_date,day_of_week,day_name,day_classification,month_name,Tv_Channel,watch_time,duration,UserID,Region,age,age_groups,email_flag,social_media_flag,Race,gender
902545,10,201603,2016-03-25,85,Fri,weekday,Mar,Supersport Live Events,10:50:00,00:01:28,902545,Kwazulu Natal,29,Youth,1,1,white,male
773017,5,201602,2016-02-02,33,Tue,weekday,Feb,SawSee,05:57:00,00:00:50,773017,Gauteng,23,Youth,1,1,coloured,male
773017,9,201601,2016-01-31,31,Sun,weekend,Jan,Trace TV,09:12:00,00:03:39,773017,Gauteng,23,Youth,1,1,coloured,male
773017,18,201601,2016-01-31,31,Sun,weekend,Jan,E! Entertainment,18:55:00,00:05:40,773017,Gauteng,23,Youth,1,1,coloured,male
773017,18,201602,2016-02-06,37,Sat,weekend,Feb,Channel O,18:53:00,00:03:21,773017,Gauteng,23,Youth,1,1,coloured,male
773017,19,201602,2016-02-06,37,Sat,weekend,Feb,Channel O,19:04:00,00:04:42,773017,Gauteng,23,Youth,1,1,coloured,male
773017,19,201602,2016-02-06,37,Sat,weekend,Feb,Trace TV,19:24:00,00:00:09,773017,Gauteng,23,Youth,1,1,coloured,male
773017,16,201602,2016-02-03,34,Wed,weekday,Feb,Trace TV,16:33:00,00:02:18,773017,Gauteng,23,Youth,1,1,coloured,male
601019,1,201601,2016-01-02,02,Sat,weekend,Jan,Cartoon Network,01:10:00,00:00:25,601019,Eastern Cape,26,Youth,1,1,indian_asian,male
601019,22,201601,2016-01-01,01,Fri,weekday,Jan,E! Entertainment,22:58:00,00:01:08,601019,Eastern Cape,26,Youth,1,1,indian_asian,male
601019,18,201601,2016-01-02,02,Sat,weekend,Jan,Trace TV,18:39:00,00:01:12,601019,Eastern Cape,26,Youth,1,1,indian_asian,male
601019,1,201601,2016-01-02,02,Sat,weekend,Jan,Vuzu,01:23:00,00:00:10,601019,Eastern Cape,26,Youth,1,1,indian_asian,male
773020,19,201601,2016-01-29,29,Fri,weekday,Jan,Supersport Live Events,19:08:00,00:01:24,773020,North West,20,Youth,1,1,black,male
773020,16,201601,2016-01-08,08,Fri,weekday,Jan,SuperSport Blitz,16:32:00,00:00:26,773020,North West,20,Youth,1,1,black,male
773020,17,201602,2016-02-06,37,Sat,weekend,Feb,Supersport Live Events,17:35:00,00:00:54,773020,North West,20,Youth,1,1,black,male
852161,11,201603,2016-03-05,65,Sat,weekend,Mar,Supersport Live Events,11:10:00,00:00:10,852161,Gauteng,32,Youth,1,1,indian_asian,male
765696,10,201603,2016-03-03,63,Thu,weekday,Mar,ICC Cricket World Cup 2011,10:43:00,00:05:02,765696,Western Cape,41,Adult,1,1,coloured,male
765696,17,201601,2016-01-09,09,Sat,weekend,Jan,SuperSport Blitz,17:54:00,00:05:14,765696,Western Cape,41,Adult,1,1,coloured,male
1064537,8,201603,2016-03-30,90,Wed,weekday,Mar,ICC Cricket World Cup 2011,08:01:00,00:00:34,1064537,Gauteng,32,Youth,1,1,indian_asian,male
810235,13,201602,2016-02-19,50,Fri,weekday,Feb,ICC Cricket World Cup 2011,13:11:00,00:12:44,810235,Gauteng,36,Adult,1,1,indian_asian,male
810235,6,201602,2016-02-26,57,Fri,weekday,Feb,ICC Cricket World Cup 2011,06:51:00,00:00:58,810235,Gauteng,36,Adult,1,1,indian_asian,male
810235,16,201602,2016-02-24,55,Wed,weekday,Feb,ICC Cricket World Cup 2011,16:02:00,00:04:04,810235,Gauteng,36,Adult,1,1,indian_asian,male
810235,2,201602,2016-02-27,58,Sat,weekend,Feb,Channel O,02:53:00,00:18:09,810235,Gauteng,36,Adult,1,1,indian_asian,male
907090,8,201603,2016-03-30,90,Wed,weekday,Mar,ICC Cricket World Cup 2011,08:26:00,00:01:20,907090,Gauteng,25,Youth,1,1,indian_asian,male
